indice_tiempo,medio_de_transporte,pais,balanza
2016-01-01,Aérea,Bolivia,3645
2016-01-01,Aérea,Brasil,-66194
2016-01-01,Aérea,Chile,-11789
2016-01-01,Aérea,Paraguay,2000
2016-01-01,Aérea,Uruguay,-12477
2016-01-01,Aérea,EE.UU. y Canadá,-15437
2016-01-01,Aérea,Resto de América,-40681
2016-01-01,Aérea,Europa,43495
2016-01-01,Aérea,Resto del mundo,6617
2016-01-01,Fluvial/Marítima,Bolivia,2103
2016-01-01,Fluvial/Marítima,Brasil,9001
2016-01-01,Fluvial/Marítima,Chile,-9031
2016-01-01,Fluvial/Marítima,Paraguay,-2484
2016-01-01,Fluvial/Marítima,Uruguay,-79229
2016-01-01,Fluvial/Marítima,EE.UU. y Canadá,17933
2016-01-01,Fluvial/Marítima,Resto de América,6600
2016-01-01,Fluvial/Marítima,Europa,21203
2016-01-01,Fluvial/Marítima,Resto del mundo,6275
2016-01-01,Terrestre,Bolivia,15054
2016-01-01,Terrestre,Brasil,-316671
2016-01-01,Terrestre,Chile,-203933
2016-01-01,Terrestre,Paraguay,-49793
2016-01-01,Terrestre,Uruguay,-139444
2016-01-01,Terrestre,EE.UU. y Canadá,7487
2016-01-01,Terrestre,Resto de América,13100
2016-01-01,Terrestre,Europa,36041
2016-01-01,Terrestre,Resto del mundo,16015
2016-02-01,Aérea,Bolivia,-208
2016-02-01,Aérea,Brasil,-77973
2016-02-01,Aérea,Chile,-6061
2016-02-01,Aérea,Paraguay,1430
2016-02-01,Aérea,Uruguay,-9509
2016-02-01,Aérea,EE.UU. y Canadá,-32671
2016-02-01,Aérea,Resto de América,-61518
2016-02-01,Aérea,Europa,13943
2016-02-01,Aérea,Resto del mundo,2205
2016-02-01,Fluvial/Marítima,Bolivia,-615
2016-02-01,Fluvial/Marítima,Brasil,2635
2016-02-01,Fluvial/Marítima,Chile,-8114
2016-02-01,Fluvial/Marítima,Paraguay,-3096
2016-02-01,Fluvial/Marítima,Uruguay,-76596
2016-02-01,Fluvial/Marítima,EE.UU. y Canadá,18502
2016-02-01,Fluvial/Marítima,Resto de América,3621
2016-02-01,Fluvial/Marítima,Europa,27428
2016-02-01,Fluvial/Marítima,Resto del mundo,6539
2016-02-01,Terrestre,Bolivia,-20398
2016-02-01,Terrestre,Brasil,-299504
2016-02-01,Terrestre,Chile,-129157
2016-02-01,Terrestre,Paraguay,-31043
2016-02-01,Terrestre,Uruguay,-148520
2016-02-01,Terrestre,EE.UU. y Canadá,7238
2016-02-01,Terrestre,Resto de América,9496
2016-02-01,Terrestre,Europa,33439
2016-02-01,Terrestre,Resto del mundo,13714
2016-03-01,Aérea,Bolivia,861
2016-03-01,Aérea,Brasil,-71546
2016-03-01,Aérea,Chile,-7458
2016-03-01,Aérea,Paraguay,2755
2016-03-01,Aérea,Uruguay,-1833
2016-03-01,Aérea,EE.UU. y Canadá,-38315
2016-03-01,Aérea,Resto de América,-41682
2016-03-01,Aérea,Europa,11941
2016-03-01,Aérea,Resto del mundo,6
2016-03-01,Fluvial/Marítima,Bolivia,-274
2016-03-01,Fluvial/Marítima,Brasil,119
2016-03-01,Fluvial/Marítima,Chile,-3068
2016-03-01,Fluvial/Marítima,Paraguay,-1417
2016-03-01,Fluvial/Marítima,Uruguay,-26518
2016-03-01,Fluvial/Marítima,EE.UU. y Canadá,16346
2016-03-01,Fluvial/Marítima,Resto de América,6841
2016-03-01,Fluvial/Marítima,Europa,17355
2016-03-01,Fluvial/Marítima,Resto del mundo,5091
2016-03-01,Terrestre,Bolivia,-3961
2016-03-01,Terrestre,Brasil,-112478
2016-03-01,Terrestre,Chile,-108867
