indice_tiempo,medio_de_transporte,pais_origen,viajes_de_turistas_no_residentes
2010-01-01,Aérea,Bolivia,4390
2010-01-01,Aérea,Brasil,72669
2010-01-01,Aérea,Chile,14726
2010-01-01,Aérea,Paraguay,4062
2010-01-01,Aérea,Uruguay,3512
2010-01-01,Aérea,EE.UU. y Canadá,42783
2010-01-01,Aérea,Resto de América,36410
2010-01-01,Aérea,Europa,75995
2010-01-01,Aérea,Resto del mundo,15212
2010-01-01,Fluvial/Marítima,Bolivia,2304
2010-01-01,Fluvial/Marítima,Brasil,51739
2010-01-01,Fluvial/Marítima,Chile,2157
2010-01-01,Fluvial/Marítima,Paraguay,7080
2010-01-01,Fluvial/Marítima,Uruguay,28861
2010-01-01,Fluvial/Marítima,EE.UU. y Canadá,14390
2010-01-01,Fluvial/Marítima,Resto de América,6693
2010-01-01,Fluvial/Marítima,Europa,18412
2010-01-01,Fluvial/Marítima,Resto del mundo,3343
2010-01-01,Terrestre,Bolivia,25893
2010-01-01,Terrestre,Brasil,45291
2010-01-01,Terrestre,Chile,118626
2010-01-01,Terrestre,Paraguay,58265
2010-01-01,Terrestre,Uruguay,25553
2010-01-01,Terrestre,EE.UU. y Canadá,8260
2010-01-01,Terrestre,Resto de América,14183
2010-01-01,Terrestre,Europa,38401
2010-01-01,Terrestre,Resto del mundo,16929
2010-02-01,Aérea,Bolivia,2843
2010-02-01,Aérea,Brasil,51701
2010-02-01,Aérea,Chile,18448
2010-02-01,Aérea,Paraguay,3416
2010-02-01,Aérea,Uruguay,3226
2010-02-01,Aérea,EE.UU. y Canadá,28007
2010-02-01,Aérea,Resto de América,18546
2010-02-01,Aérea,Europa,58336
2010-02-01,Aérea,Resto del mundo,13860
2010-02-01,Fluvial/Marítima,Bolivia,822
2010-02-01,Fluvial/Marítima,Brasil,38876
2010-02-01,Fluvial/Marítima,Chile,3969
2010-02-01,Fluvial/Marítima,Paraguay,6126
2010-02-01,Fluvial/Marítima,Uruguay,28024
2010-02-01,Fluvial/Marítima,EE.UU. y Canadá,15187
2010-02-01,Fluvial/Marítima,Resto de América,3326
2010-02-01,Fluvial/Marítima,Europa,22466
2010-02-01,Fluvial/Marítima,Resto del mundo,3541
2010-02-01,Terrestre,Bolivia,17884
2010-02-01,Terrestre,Brasil,31437
2010-02-01,Terrestre,Chile,175073
2010-02-01,Terrestre,Paraguay,55251
2010-02-01,Terrestre,Uruguay,24530
2010-02-01,Terrestre,EE.UU. y Canadá,6962
2010-02-01,Terrestre,Resto de América,8528
2010-02-01,Terrestre,Europa,32414
2010-02-01,Terrestre,Resto del mundo,13568
2010-03-01,Aérea,Bolivia,2917
2010-03-01,Aérea,Brasil,45960
2010-03-01,Aérea,Chile,13794
2010-03-01,Aérea,Paraguay,4261
2010-03-01,Aérea,Uruguay,6210
2010-03-01,Aérea,EE.UU. y Canadá,35767
2010-03-01,Aérea,Resto de América,23824
2010-03-01,Aérea,Europa,64465
2010-03-01,Aérea,Resto del mundo,15004
2010-03-01,Fluvial/Marítima,Bolivia,2068
2010-03-01,Fluvial/Marítima,Brasil,19089
2010-03-01,Fluvial/Marítima,Chile,887
2010-03-01,Fluvial/Marítima,Paraguay,6113
2010-03-01,Fluvial/Marítima,Uruguay,33932
